ID;checking_status;credit_history;duration;credit_amount;installment_commitment;residence_since;age;existing_credits;num_dependents;class
1;<0;critical/other existing credit;6;1169;4;4;67;2;1;good
2;0<=X<200;existing paid;48;5951;2;2;22;1;1;bad
3;no checking;critical/other existing credit;12;2096;2;3;49;1;2;good
4;<0;existing paid;42;7882;2;4;45;1;2;good
5;<0;delayed previously;24;4870;3;4;53;2;2;bad
6;no checking;existing paid;36;9055;2;4;35;1;2;good
7;no checking;existing paid;24;2835;3;4;53;1;1;good
8;0<=X<200;existing paid;36;6948;2;2;35;1;1;good
9;no checking;existing paid;12;3059;2;4;61;1;1;good
10;0<=X<200;critical/other existing credit;30;5234;4;2;28;2;1;bad
11;0<=X<200;existing paid;12;1295;3;1;25;1;1;bad
12;<0;existing paid;48;4308;3;4;24;1;1;bad
13;0<=X<200;existing paid;12;1567;1;1;22;1;1;good
14;<0;critical/other existing credit;24;1199;4;4;60;2;1;bad
15;<0;existing paid;15;1403;2;4;28;1;1;good
16;<0;existing paid;24;1282;4;2;32;1;1;bad
17;no checking;critical/other existing credit;24;2424;4;4;53;2;1;good
18;<0;no credits/all paid;30;8072;2;3;25;3;1;good
19;0<=X<200;existing paid;24;12579;4;2;44;1;1;bad
20;no checking;existing paid;24;3430;3;2;31;1;2;good
21;no checking;critical/other existing credit;9;2134;4;4;48;3;1;good
22;<0;existing paid;6;2647;2;3;44;1;2;good
23;<0;critical/other existing credit;10;2241;1;3;48;2;2;good
24;0<=X<200;critical/other existing credit;12;1804;3;4;44;1;1;good
25;no checking;critical/other existing credit;10;2069;2;1;26;2;1;good
26;<0;existing paid;6;1374;1;2;36;1;1;good
27;no checking;no credits/all paid;6;426;4;4;39;1;1;good
28;>=200;all paid;12;409;3;3;42;2;1;good
29;0<=X<200;existing paid;7;2415;3;2;34;1;1;good
30;<0;delayed previously;60;6836;3;4;63;2;1;bad
31;0<=X<200;existing paid;18;1913;3;3;36;1;1;good
32;<0;existing paid;24;4020;2;2;27;1;1;good
33;0<=X<200;existing paid;18;5866;2;2;30;2;1;good
34;no checking;critical/other existing credit;12;1264;4;4;57;1;1;good
