CODIGO;MUNICIPIO;PIB;VALOREMPENHO
106;SANTANA DO LIVRAMENTO;12240.76;1088666.1
113;SANTO ANGELO;16575.82;800669.92
118;SAO FRANCISCO DE ASSIS;12037.61;466122.8
13;CACAPAVA DO SUL;13674.54;485535.86
120;SAO GABRIEL;19912.38;533719.86
98;QUARAI;12552.51;381286.24
95;PIRATINI;10811.67;315884.5
325;TUNAS;11543.02;326884.6
126;SAO LUIZ GONZAGA;15887.14;385185.68
153;URUGUAIANA;21084.19;401124.62
36;DOM PEDRITO;19013.71;371857.25
248;AMARAL FERRADOR;9216.87;235327.02
297;PARAISO DO SUL;13170.25;270262.04
125;SAO LOURENCO DO SUL;12674.7;251561.35
239;JOIA;23312.14;347560.44
38;ENCRUZILHADA DO SUL;10372.8;200738.61
23;CANGUCU;11213.34;205741.65
140;TAPES;14056.88;230054.99
259;CERRO BRANCO;11961.1;208240.5
259;MONTE ALEGRE DOS CAMPOS;11961.1;208240.5
79;MOSTARDAS;19565.25;284378.16
259;CERRO BRANCO;12467.25;208240.5
259;MONTE ALEGRE DOS CAMPOS;12467.25;208240.5
61;HERVAL;11484.31;190683.19
33;CRISSIUMAL;14008.76;209081.5
156;VERA CRUZ;18417.96;246386.96
187;CORONEL BICACO;18904.82;242475.63
15;CACHOEIRA DO SUL;16397.28;212709.75
154;VACARIA;20448.38;245264.54
176;BUTIA;13813.54;185455.23
59;GUAPORE;18161.99;213430.42
373;MINAS DO LEAO;12205.44;159124.9
14;CACEQUI;13648.11;168348.38
198;INDEPENDENCIA;17860.75;198871.61
147;TRES DE MAIO;19158.36;207262.75
440;DOM PEDRO DE ALCANTARA;11846.92;151929.31
447;ITAARA;11615.69;147695.96
222;SANTANA DA BOA VISTA;11172.34;139594.29
175;BRAGA;12018.09;145459.93
242;SALTO DO JACUI;16639.3;172118.1
280;IBIRAPUITA;14493.69;155862.98
141;DOUTOR MAURICIO CARDOSO;13628.17;147767.38
141;TAQUARA;13628.17;147767.38
70;JULIO DE CASTILHOS;21618.63;201137
367;MANOEL VIANA;15913.84;161561.59
425;VILA NOVA DO SUL;13053.13;141895.69
55;GIRUA;24219.34;214877.97
288;JAQUIRANA;11413.37;129434.42
269;ENTRE-IJUIS;13675.59;142254.22
