,number,date
0,0.0,1998-01-01
1,0.0,1999-01-01
2,0.0,2000-01-01
3,0.0,2001-01-01
4,0.0,2002-01-01
5,10.0,2003-01-01
6,0.0,2004-01-01
7,12.0,2005-01-01
8,4.0,2006-01-01
9,0.0,2007-01-01
10,0.0,2008-01-01
11,0.0,2009-01-01
12,1.0,2010-01-01
13,0.0,2011-01-01
14,0.0,2012-01-01
15,0.0,2013-01-01
16,0.0,2014-01-01
17,1.0,2015-01-01
18,12.0,2016-01-01
19,0.0,2017-01-01
20,0.0,1998-01-01
21,0.0,1999-01-01
22,0.0,2000-01-01
23,0.0,2001-01-01
24,1.0,2002-01-01
25,0.0,2003-01-01
26,3.0,2004-01-01
27,0.0,2005-01-01
28,0.0,2006-01-01
29,5.0,2007-01-01
30,0.0,2008-01-01
31,2.0,2009-01-01
32,0.0,2010-01-01
33,0.0,2011-01-01
34,0.0,2012-01-01
35,0.0,2013-01-01
36,0.0,2014-01-01
37,2.0,2015-01-01
38,5.0,2016-01-01
39,1.0,2017-01-01
40,0.0,1998-01-01
41,0.0,1999-01-01
42,11.0,2000-01-01
43,0.0,2001-01-01
44,0.0,2002-01-01
45,0.0,2003-01-01
46,0.0,2004-01-01
47,3.0,2005-01-01
48,0.0,2006-01-01
49,2.0,2007-01-01
50,0.0,2008-01-01
51,1.0,2009-01-01
52,0.0,2010-01-01
53,0.0,2011-01-01
54,1.0,2012-01-01
55,2.0,2013-01-01
56,1.0,2014-01-01
57,2.0,2015-01-01
58,0.0,2016-01-01
59,0.0,2017-01-01
60,0.0,1998-01-01
61,0.0,1999-01-01
62,1.0,2000-01-01
63,0.0,2001-01-01
64,0.0,2002-01-01
65,1.0,2003-01-01
66,2.0,2004-01-01
67,1.0,2005-01-01
68,0.0,2006-01-01
69,0.0,2007-01-01
70,0.0,2008-01-01
71,0.0,2009-01-01
72,3.0,2010-01-01
73,2.0,2011-01-01
74,1.0,2012-01-01
75,19.0,2013-01-01
76,7.0,2014-01-01
77,3.0,2015-01-01
78,0.0,2016-01-01
79,1.0,2017-01-01
80,0.0,1998-01-01
81,0.0,1999-01-01
82,1.0,2000-01-01
83,0.0,2001-01-01
84,0.0,2002-01-01
85,6.0,2003-01-01
86,7.0,2004-01-01
87,2.0,2005-01-01
88,8.0,2006-01-01
89,1.0,2007-01-01
90,0.0,2008-01-01
91,3.0,2009-01-01
92,9.0,2010-01-01
93,3.0,2011-01-01
94,3.0,2012-01-01
95,4.0,2013-01-01
96,1.0,2014-01-01
97,2.0,2015-01-01
98,21.0,2016-01-01
