"id_discente","discente_matricula","sexo","ano_nascimento","raca","ano_ingresso","periodo_ingresso","pais","curso","nivel","modalidade","estado","polo","forma_ingresso","programa_cota","discente_situacao","periodo_atual","data_colacao_grau"
"03bc8af6b3061e1cae9fb0bd8b20308c"," 2017206***","F","1991","Não declarada","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"0832482b8b390dc7caf355f08ebe54dd"," 2017101***","F","1993","Negra","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","ÉTNICO","ATIVO","8",""
"08916f4731e72e75b792d53431a2a90e"," 2017207***","F","1989","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"0d919fbfce60aea4890e70e5b872f471"," 2017101***","M","1977","Negra","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","7",""
"0e2427404fb0f446a8a809b332209633"," 2017100***","F","1982","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","7",""
"0f0acecf8da7851ca66e3567ce977d67"," 2017100***","M","1986","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","7",""
"0fe13d096f36e087199d47c632ec7551"," 2017208***","M","1975","Não declarada","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","6",""
"1003aaf74fe461320d7923e105914a15"," 2017101***","M","1987","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"11c7bcd7f6844f2d5e09198025ca2a4f"," 2017208***","F","1999","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"12a17a68c64999dc732452e44105025e"," 2017207***","M","1973","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"12bccaa7b887c34b90571f9f6d857184"," 2015201***","M","1972","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"13df4ec4327062d41e93d5dde0f684c8"," 2017101***","F","1988","Branca","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"17b9289fbd478f35b956d459ea6a3833"," 2015200***","M","1971","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","NENHUM","ATIVO","11",""
"18a44dfed4bd4dfcbe66fd7e293304bc"," 2017101***","M","1997","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"1a6560189f21aeed45f481cc9145762b"," 2017207***","M","1985","Não declarada","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"1d489bf36e8c370b34907dc7e18ae9fa"," 2017101***","M","1997","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"1d6093673a6a16b33851a6dc8cbc98c6"," 2015201***","F","1993","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Limoeiro do Norte","VESTIBULAR","NENHUM","ATIVO","11",""
"1dc7e3e62bda4446c106e6b9996077bd"," 2017208***","M","1991","Amarela","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"1ef135129c70dc0865a23d7faa2e877e"," 2014100***","M","1994","Parda","2014","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","","ATIVO","14",""
"204976686050ab510137018bcc0927cf"," 2017100***","M","1986","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"219be5630e16a9b7f25a16d41deb174a"," 2017209***","F","1993","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"2328823fd29229732c73632f16ed2d4b"," 2017101***","M","1983","Negra","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","L5 - independentemente da renda (Lei nº 12.711/2012)","ATIVO","7",""
"236bd288d36533f14d7cc3ec32a68770"," 2014100***","F","1989","Parda","2014","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","","ATIVO","14",""
"294a32ea7c080a0ddabf928aa708412d"," 2017207***","F","1990","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
