"id_discente","matricula","ano_ingresso","periodo_ingresso","periodo_atual","sexo","idade","raça","pais","curso","nivel","modalidade","estado","polo","forma_ingresso","discente_situacao","beneficiado_auxilio","prazo_conclusao","data_colacao_grau"
"0003ba85ff2e992a07361dbe7e28d0bf"," 2018102***","2018","1","5","M","25","Negra","Angola","MATEMÁTICA","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","f","20241",""
"00082dd79190f2e00b15da27afcae03b"," 2019101***","2019","1","3","F","22","Parda","Brasil","PEDAGOGIA","G","Presencial","Ceará","","REINGRESSO SEGUNDO CICLO","ATIVO","f","20231",""
"0016b115d8bcfce421766b146f40a388"," 2013102***","2013","1","15","M","40","Parda","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","ATIVO","f","20182",""
"0028bbd61a14e1a811dfc2617d5e2544"," 2017107***","2017","1","7","F","21","Negra","Brasil","CIÊNCIAS BIOLÓGICAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20231",""
"003b1ab7e5226903162e76581c17a333"," 2019104***","2019","1","3","F","20","Negra","Brasil","LETRAS -  LÍNGUA PORTUGUESA","G","Presencial","Ceará","","SiSU","ATIVO","f","20241",""
"0041fb8d95c8cc2d644fdfe46b18ef70"," 2014300***","2014","3","11","M","27","Parda","Brasil","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","SiSU","ATIVO","f","20231",""
"004d7c4a3ed5320475afbbf2a18e4868"," 2015106***","2015","1","11","M","28","Negra","Cabo Verde","ENGENHARIA DE ENERGIAS","G","Presencial","Ceará","","REOPCAO","ATIVO","f","20232",""
"0051b60c521f4f907b7073cc1d4201ef"," 2018208***","2018","2","4","F","22","Negra","Brasil","HUMANIDADES","G","Presencial","Bahia","","SISURE","ATIVO","f","20222",""
"005a5b65842ac25c24f3b556e4d5f192"," 2018207***","2018","2","4","M","20","Negra","Brasil","HISTÓRIA","G","Presencial","Ceará","","SELEÇÃO DE ALUNOS QUILOMBOLAS OU INDÍGENAS","ATIVO","t","20232",""
"00661882327686b9884bf0a604a7d4d6"," 2019206***","2019","2","2","M","28","Negra","Guiné Bissau","HUMANIDADES","G","Presencial","Ceará","","SELEÇÃO DE ESTUDANTES ESTRANGEIROS","ATIVO","t","20231",""
"007f75cefd0033fe29e52d440b3159ff"," 2018208***","2018","2","4","F","26","Negra","Brasil","HUMANIDADES","G","Presencial","Bahia","","SISURE","ATIVO","f","20222",""
"008369a1fdaea52b5aaca2cd02feffd8"," 2019102***","2019","1","3","M","20","Branca","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","f","20222",""
"008a11a60ab3d2fc9a087632d9456a18"," 2018105***","2018","1","5","F","22","Parda","Brasil","HUMANIDADES","G","Presencial","Ceará","","SiSU","ATIVO","f","20212",""
